step,epoch,train_loss,val_loss,validity,polymer_valid,uniqueness,novelty,lr,sec
4000,2,0.46216,0.42377,0.9434,0.1348,1.0000,1.0000,2.995e-04,639
8000,4,0.32393,0.29175,0.9883,0.6445,1.0000,0.9909,2.953e-04,1282
12000,6,0.28629,0.25664,0.9863,0.7852,1.0000,0.9876,2.871e-04,1925
16000,8,0.26637,0.23995,0.9883,0.7910,1.0000,0.9753,2.752e-04,2569
20000,10,0.25325,0.22523,0.9883,0.7930,1.0000,0.9680,2.598e-04,3213
24000,12,0.24215,0.21389,0.9883,0.8340,1.0000,0.9672,2.414e-04,3860
28000,14,0.23366,0.20127,0.9863,0.8398,1.0000,0.9628,2.205e-04,4508
32000,16,0.22715,0.19275,0.9961,0.8535,1.0000,0.9519,1.978e-04,5151
36000,19,0.21690,0.18956,0.9961,0.8535,1.0000,0.9519,1.739e-04,5798
40000,21,0.21301,0.18096,0.9961,0.8457,0.9977,0.9468,1.496e-04,6444
44000,23,0.20873,0.18140,0.9844,0.8613,1.0000,0.9546,1.255e-04,7091
48000,25,0.20340,0.17150,0.9922,0.8574,1.0000,0.9522,1.023e-04,7734
52000,27,0.19984,0.16935,0.9941,0.8418,1.0000,0.9606,8.070e-05,8382
56000,29,0.19616,0.16749,0.9922,0.8594,1.0000,0.9455,6.137e-05,9028
60000,31,0.19327,0.16233,0.9941,0.8867,1.0000,0.9383,4.485e-05,9671
64000,33,0.19113,0.16144,0.9922,0.8574,1.0000,0.9453,3.163e-05,10314
68000,36,0.18776,0.15711,0.9961,0.8477,1.0000,0.9470,2.209e-05,10956
72000,38,0.18812,0.15595,0.9902,0.8379,1.0000,0.9487,1.651e-05,11597
75400,39,0.18662,0.15662,0.9941,0.8574,1.0000,0.9385,1.500e-05,12143
