SMILES,MolWt,MolLogP,TPSA,NumHDonors,NumHAcceptors,NumRotatableBonds,RingCount,FractionCSP3,QED,SAscore
*C[N+](C)(C)C(C)S(=O)(=O)N=CC1=CC=C(c2cccc(*)n2)C=CC1,344.4600000000001,1.8557000000000001,59.39,0,3,6,2,0.3333333333333333,0.5845007033928142,5.22771284207316
*NNC(=O)c1ccc(*)o1,124.09899999999998,-0.8471000000000002,54.269999999999996,2,3,2,1,0.0,0.5049051898895258,4.5550049516818465
*CN(Cc1ccc(C=*)cc1)C(=O)N1CCC(N(C)CC(C)(C)C#N)C1,339.4630000000001,2.3708800000000005,50.580000000000005,0,3,7,2,0.55,0.766233379177001,4.1383666626950095
*CCC(*)C=NCC(=O)O[Si](C=O)C(F)(F)F,252.24399999999997,1.1607999999999998,55.73,0,4,7,0,0.625,0.38793195702204747,5.922130935536479
*OC(=O)CCCC(Br)c1ccc(CCC(*)=O)cc1,311.175,3.3089000000000013,43.370000000000005,0,3,8,1,0.42857142857142855,0.6918587260106648,3.8847257194576494
*CCC(C)CNC(=O)CCCC(=O)NCC(C)C[Si](*)(C)SC,344.59700000000004,3.003300000000001,58.2,2,3,13,0,0.875,0.5050107588292797,4.713531253521043
*NC(=O)CCCC(=O)NCc1ccc(-c2ccccc2N(*)CCC)cc1,351.45000000000016,3.4013000000000018,61.440000000000005,2,3,10,2,0.3333333333333333,0.6895665867795693,3.0060283820531213
*c1ccc(COC(=CC=CN2CC(=O)N(*)C(C=CC=O)C2=O)[SH]=CC)cc1,384.4570000000001,1.2792999999999997,66.92,1,4,8,2,0.2,0.18313038590806496,5.435207308679901
*CCCCCN(*)C(=O)OCCOCCOCNc1ccc(OC)cc1,352.43100000000004,3.138600000000001,69.26,1,6,15,1,0.6111111111111112,0.3862632457424971,3.4062706171826775
*C*(C[N+](C)(C)CCCNC)C(=O)C(=O)N1CC(C)COCCC1C,342.50400000000013,0.9757000000000009,58.64,1,4,9,1,0.8888888888888888,0.38542730848742235,4.957688369624951
*OOC(C)(C#N)NC(=O)SCC[CH2][Ge]([*])([CH3])[CH3],304.915,2.22598,71.35,1,5,7,0,0.7777777777777778,0.2566589034233458,5.732329626207509
*C(=O)N(OC)C(=O)c1ccc([Si](c2ccccc2)c2ccc(*)o2)cc1,348.4100000000001,0.6432999999999995,59.75,0,4,5,3,0.05263157894736842,0.5016209310185131,4.058814625805633
[C]=CN(CCCOC(=O)NC*=C)C(=O)C(*C=C)=CC=CC(C)Br,382.27799999999996,2.681490000000001,58.64,1,3,12,0,0.35294117647058826,0.24442864046131685,5.677810189448943
*c1ccc(CC(=O)CNc2cc(CC)cc(C(=O)N(*)CCC)c2)cc1,336.4350000000001,2.9638000000000018,49.410000000000004,1,3,9,2,0.3333333333333333,0.7658049050034516,3.4478428849149445
*CCOC1=C=C(OC(=O)c2ccc(N=CC[SH](*)(=O)CC)cc2)C=CC1,359.4470000000001,3.357400000000003,64.96000000000001,1,5,9,2,0.3157894736842105,0.3177694883163657,4.967705314064743
*CCC(=O)CN(C)C(=O)CCCCC[Si](*)(C)c1ccccc1NCl,366.9649999999999,3.5295000000000014,49.410000000000004,1,3,12,1,0.5555555555555556,0.3495070838952302,4.3032480533407655
